created_at,full_text,in_reply_to_screen_name,lang,tweet_url
Fri Jan 27 10:08:35 +0000 2023,@CommuterLine baru tau naik transit ke Matraman KRL jurusan Cikarang jam 4 sore nunggu lama ampe dah penuh ( mnrt saya ) -+ 5 mnt baru brangkat kalo terjadi pelecehan gimana lah wong udah penuh atau emang nunggu jalur gitu ...,CommuterLine,in,https://x.com/undefined/status/1618913854226071555
Tue Mar 07 02:59:41 +0000 2023,@CommuterLine Kita sudah saling peduli kalian yg gak peduli. kejahatan kecopetan pelecehan kekerasan semua meningkat gara gara kalian ubah rute. #RekanCommuter,CommuterLine,in,https://x.com/undefined/status/1632939044744347648
Tue Mar 07 00:17:21 +0000 2023,@CommuterLine Percuma min @CommuterLine bersuara hati2 pelecehan seksual kalo kaya gitu terus mah ,CommuterLine,in,https://x.com/undefined/status/1632898194437992448
Fri Dec 01 16:35:23 +0000 2023,@CommuterLine @DivHumas_Polri tolong diamankan bajingan2 pelaku pelecehan seksual seperti ini!,CommuterLine,in,https://x.com/undefined/status/1730626659651645693
Sat Mar 11 13:56:00 +0000 2023,@CommuterLine @yrcfsj Tolong min dipercepat untuk tambah gerbong wanita.. soalnya temen yg pakai KRL bisa tiap bulan kena pelecehan.. bener2 ngeri.. tp ga punya pilihan lain selain naik KRL krna rumahnya jauh..,CommuterLine,in,https://x.com/undefined/status/1634553764018532352
Wed Apr 26 11:37:00 +0000 2023,@CommuterLine @anissca Kalau gk dipecat terlalu sih... Tandanya mendukung pelecehan kalau sampai msh ads,CommuterLine,in,https://x.com/undefined/status/1651188626913660928
Tue Sep 19 00:44:50 +0000 2023,@CommuterLine @annepurba @KAI121 apakah 4010 bisa menjadi 5529 ??? kl melihat reel seperti ini. Baru aja terjadi entah pelecehan atau copet di 5517 ini krn jadwal yg telat dan KCI buka kesempatan utk para pelakunya yg manfaatkan kepadatan KRL. https://t.co/abTp9H4pnN,CommuterLine,in,https://x.com/undefined/status/1703933131777265802
Wed Apr 05 03:22:05 +0000 2023,@CommuterLine Jadi gini loh min... di rush hour jangan pernah operasikan kereta 8 gerbong krn penumpang penuh sesak jadi makin sesak lalu ada kesempatanlah buat kejahatan spt copet dan pelecehan. Maka dari itu jgn pernah ada krl 8 gerbong di rush hour min.,CommuterLine,in,https://x.com/undefined/status/1643453929475420161
Wed Oct 04 00:44:07 +0000 2023,@CommuterLine Pakbu tolonglah.. udah ga relevan lagi rush hour Tangerang Duri 8 gerbong.. terlalu dempettt dan ga ada ruang. Gimana mau mencegah pelecehan seksual kalo kalian sendiri yg ciptakan situasinya!,CommuterLine,in,https://x.com/undefined/status/1709368767988502699
Fri Mar 10 22:15:10 +0000 2023,@CommuterLine Cara mencegahnya adalah dengan menambah gerbong wanita jadi 4 gerbong. Dua gerbong depan dua gerbong belakang. Pada gerbong lelaki sediakan sediakan alarm siapapun yg lihat pelecehan bunyikan alarm dan ciduk pelaku.,CommuterLine,in,https://x.com/undefined/status/1634316993900986368
Thu Apr 27 11:58:36 +0000 2023,@CommuterLine @Grumygust Coba pasang CCTV di tiap gerbong. Biar kalau ada aksi kekerasan atau pelecehan siapapun bisa melaporkan ke kalian.,CommuterLine,in,https://x.com/undefined/status/1651556447417937922
Mon May 01 09:10:25 +0000 2023,@CommuterLine Min Telah terjadi pelecehan di kereta tujuan ke rangkasbitung kepada seorang wanita wanita tersebut berhasil menghindar dan alhasil hanya memegang tangan. Wanita itu kini berpindah gerbong dan merasa tidak nyaman dan takut. Mohon segera ditindaklanjuti min.,CommuterLine,in,https://x.com/undefined/status/1652963675442122752
Tue Aug 22 13:09:31 +0000 2023,@CommuterLine @annepurba @KAI121 5146 padat krn tujuan bekasi/cikarang terbatas KCI bukan peluang utk pelaku kejahatan dan pelecehan di dalam KRL. Entah apa yg ada di pkkiran manajemen KCI pagi dan sore telat utk jalur biru. https://t.co/xdKTePfHq5,CommuterLine,in,https://x.com/undefined/status/1693973674444062831
Mon Apr 17 10:16:08 +0000 2023,@CommuterLine cek dm min cewek saya kena pelecehan seksual di trayek duri-tangerang jam 16.45,CommuterLine,in,https://x.com/undefined/status/1647906782290006016
Thu Jul 27 17:12:40 +0000 2023,@CommuterLine tolong semuanya yang naik krl pada saat penuh atau gaada space lebih baik gausa naik temen saya jadi korban pelecehan didlm krl. (Ini muka pelaku dia bareng 3 temennya) kalian tolong bisa ingat2 wajah orang ini jika bertemu) tolong satpam krl ada ditiap gerbong @CommuterLine https://t.co/BUy8iYjkd6,CommuterLine,in,https://x.com/undefined/status/1684612780589277184
Fri Mar 24 14:43:51 +0000 2023,@CommuterLine @infojakarta gerbong khushs wanita hire petugas ceweklah.. kasihan masnya salah dikit malah dituntut pelecehan,CommuterLine,in,https://x.com/undefined/status/1639276847597862915
Wed Apr 26 23:56:16 +0000 2023,@CommuterLine Gimana follow upnya? Udah dipecat belom si petugas? Ga usah koar2 lapor pelecehan kalo pegawai lu sendiri kek gini,CommuterLine,in,https://x.com/undefined/status/1651374667511517184
Mon Sep 11 00:36:07 +0000 2023,@CommuterLine min tolonglah udah kejepit gini orang udah pada mau pingsan masih ditahan di stasiun juga? Yang dibahas di announcement masalah pelecehan terus yang mau pada pingsan gimana? https://t.co/5M75W94sOp,CommuterLine,in,https://x.com/undefined/status/1701031832698155488
Mon Mar 27 12:27:05 +0000 2023,@CommuterLine halo minta tolong dm saya dibalas dong sangat penting mengenai pelecehan seksual terima kasih.,CommuterLine,in,https://x.com/undefined/status/1640329594090950656
Wed Apr 26 08:30:42 +0000 2023,@CommuterLine @anissca Gabisa gue damai untuk urusan pelecehan,CommuterLine,in,https://x.com/undefined/status/1651141739711963141
Sat Mar 11 07:25:19 +0000 2023,@CommuterLine @yrcfsj Mau ngasih saran boleh? Kalau boleh bagi setengah-setengah. Semisal total gerbong 10 berarti 5 gerbong khusus wanita 5 gerbong untuk pria. Pokoknya bagi setengah² biar gk banyak kasus pelecehan seksual. Kalau cuma 2 gerbong khusus wanita menurut saya kurang,CommuterLine,in,https://x.com/undefined/status/1634455446944894976
Sat Apr 29 01:35:16 +0000 2023,@CommuterLine Min bgmn penyelesaian laporan palsu pelecehan yg menghancurkan karir &amp; nama baik petugas? Sekelas kalian seenaknya memecat berdasar laporan tanpa bukti &amp; saksi? Bgmn kalian melindungi petugas kalian dari tipudaya laporan palsu orang yg punya dendam pribadi? Usut &amp; tuntaskan!,CommuterLine,in,https://x.com/undefined/status/1652124358637400064
Sat Apr 29 06:20:15 +0000 2023,@CommuterLine Soal nunggu kita nunggu tanggapan KAIC soal tuduhan palsu pelecehan yg mengorbankan karir&amp;nama baik petugas. Leza Arlan bilang 'petugas sdh mengakui perbuatannya' eh menurut pihak sana tnyata diintimidasi&amp;ditekan sdng permintaan buka CCTV&amp;dikonfrontir tdk digubris. Ramai loh,CommuterLine,in,https://x.com/undefined/status/1652196077033103363
Wed Apr 26 05:23:45 +0000 2023,@CommuterLine @anissca Percuma yo min masang stiker anti pelecehan tapi karyawan sendiri g teredukasi,CommuterLine,in,https://x.com/undefined/status/1651094692753453057
